"","care_group","CH","ADC","ECH","MHH","ownership"
"430","Care Community Ltd","   3    ","       ","       ","       ","P"
"431","Care Concepts Ltd","   3    ","       ","       ","       ","P"
"432","Care Concern Ltd","   2    ","       ","       ","       ","P"
"433","Care Expertise Ltd","   6    ","       ","       ","       ","P"
"434","Care First Class  UK  Ltd","   4    ","       ","       ","       ","P"
"435","Care First Homes","   4    ","       ","       ","       ","P"
"436","Care For Your Life Ltd","   4    ","       ","       ","       ","P"
"437","Care Fulfillment Ltd","   2    ","       ","       ","       ","P"
"438","Care Futures","   4    ","       ","       ","       ","P"
"439","Care Homes for Adults with Disabilities Ltd","   2    ","       ","       ","       ","P"
"440","Care Homes Group Ltd","   5    ","       ","       ","       ","P"
"441","Care Homes of Distinction Ltd","   3    ","       ","       ","       ","P"
"442","Care Homes UK Ltd","   6    ","       ","       ","       ","P"
"443","Care in Mind Ltd","   5    ","       ","       ","       ","P"
"444","Care In Safe Hands Healthcare Ltd","   2    ","       ","       ","       ","P"
"445","Care In Style Ltd","   3    ","       ","       ","       ","P"
"446","1st Care Ltd","   4    ","       ","       ","       ","P"
"447","24 7 Care Ltd","   2    ","       ","       ","       ","P"
"448","Care Management Group Ltd","   66   ","       ","       ","       ","P"
"449","Care Network Solutions Ltd","   4    ","       ","       ","       ","P"
"450","Care One Ltd","   2    ","       ","       ","       ","P"
"451","Care People Private Ltd","   2    ","       ","       ","       ","P"
"452","Care Plus   Complete Care  UK  Ltd","   6    ","       ","       ","       ","P"
"453","Care Services  UK  Ltd","   3    ","       ","       ","       ","P"
"454","Care South","   15   ","       ","   2    ","       ","V"
"455","Care   Support Partnership Community Interest Co Ltd","   2    ","       ","       ","       ","V"
"456","1st Care  UK  Ltd","   2    ","       ","       ","       ","P"
"457","Care UK Nursing   Residential Care Services","   113   ","   13   ","   1    ","       ","P"
"458","Care Unlimited","   4    ","       ","       ","       ","P"
"459","Care Without Compromise Ltd","   2    ","       ","       ","       ","P"
"460","Carebase Ltd","   13   ","       ","       ","       ","P"
"461","Carecall Ltd","   3    ","       ","       ","       ","P"
"462","Carechoice Ltd","   4    ","       ","       ","       ","P"
"463","Careline Lifestyles UK Ltd","   8    ","       ","       ","       ","P"
"464","Carers Ltd","   2    ","       ","       ","       ","P"
"465","CareTech Community Services Ltd","   114   ","       ","       ","       ","P"
"466","Careview Services Ltd","   2    ","       ","       ","       ","P"
"467","Carewell Homes","   3    ","       ","       ","       ","P"
"468","Cariad Care Homes Ltd","   2    ","       ","       ","       ","P"
"469","Caring Homes Group","   63   ","       ","   1    ","       ","P"
"470","Carisbrooke Healthcare Ltd","   3    ","       ","       ","       ","P"
"471","Caritas Services Ltd","   3    ","       ","       ","       ","P"
"472","Carlton Care Group","   4    ","       ","       ","       ","P"
"473","Carlton Care Group","   5    ","       ","       ","       ","P"
"474","Carmand Ltd","   3    ","       ","       ","       ","P"
"475","Carmarthenshire County Council","   12   ","       ","       ","       ","L"
"476","Carningli Trust","   3    ","       ","       ","       ","V"
"477","Cartref Homes UK Ltd","   4    ","       ","       ","       ","P"
"478","Cartref Ltd","   2    ","       ","       ","       ","V"
"479","Cartrefi Cymru Cyf","   9    ","       ","       ","       ","V"
"480","Casicare","   4    ","       ","   1    ","       ","P"
"481","Caspia Care Ltd","   2    ","       ","       ","       ","P"
"482","Castalia Group","   2    ","       ","       ","       ","P"
"483","Castel Froma","   2    ","       ","       ","       ","V"
"484","Castle Villas","   2    ","       ","       ","       ","P"
"485","Castlehaven Care Ltd","   3    ","       ","       ","       ","P"
"486","Castlemeadow Group","   4    ","       ","   1    ","       ","P"
"487","Catalyst Choices Community Interest Company","   1    ","   2    ","   4    ","       ","P"
"488","Catholic Blind Institute","   2    ","       ","       ","       ","V"
"489","Catholic Care  Diocese of Leeds","   3    ","       ","       ","       ","V"
"490","Cavendish Care","   6    ","       ","       ","       ","P"
"491","Cedar Care Homes","   12   ","       ","       ","       ","P"
"492","The Cedar Foundation","   3    ","       ","       ","       ","V"
"493","Cedar House Care Home Ltd","   2    ","       ","       ","       ","P"
"494","Cedarmore Housing Association Ltd","   1    ","       ","   3    ","       ","V"
"495","Cedars Care Group","   8    ","       ","       ","       ","P"
"496","The Cedars Care Services Ltd","   4    ","       ","   1    ","       ","P"
"497","Cedars Castlehill","   2    ","       ","       ","       ","V"
"498","Celtic Care  Swansea  Ltd","   3    ","       ","       ","       ","P"
"499","Central Bedfordshire Council","   9    ","       ","   1    ","       ","L"
"500","Central England Healthcare  Wolverhampton  Ltd","   4    ","       ","       ","       ","P"
"501","Centurion Healthcare Ltd","   3    ","       ","       ","       ","P"
"502","Century Healthcare Ltd","   8    ","       ","       ","       ","P"
"503","Ceredigion County Council","   6    ","   5    ","       ","       ","L"
"504","Chamarel Home Ltd","   2    ","       ","       ","       ","P"
"505","Chanctonbury Healthcare Ltd","   3    ","       ","       ","       ","P"
"506","Diwan Chand","   2    ","       ","       ","       ","P"
"507","Charing Healthcare Ltd","   10   ","       ","       ","       ","P"
"508","Charis House Ltd","   2    ","       ","       ","       ","P"
"509","Dawn Charlesworth   Cheryl Ince","   3    ","       ","       ","       ","P"
"510","Charline Care Homes Ltd","   2    ","       ","       ","       ","P"
"511","Chartbeech Ltd","   2    ","       ","       ","       ","P"
"512","Chartwell Care Services Ltd","   3    ","       ","       ","       ","P"
"513","Chase Community Homes","   2    ","       ","       ","       ","P"
"514","Chasewood Care Ltd","   2    ","       ","       ","       ","P"
"515","Chatsworth Care","   5    ","       ","       ","       ","P"
"516","Benazir Chaudhry","   3    ","       ","       ","       ","P"
"517","R Chaudhry","   3    ","       ","       ","       ","P"
"518","Cheerhealth Ltd","   3    ","       ","       ","       ","P"
"519","Cheltenham Care Ltd","   2    ","       ","       ","       ","P"
"520","Chengun Care Homes Ltd","   2    ","       ","       ","       ","P"
"521","Cherre Residential Care Ltd","   2    ","       ","       ","       ","P"
"522","Cherry Care Homes","   2    ","       ","       ","       ","P"
"523","Cherry Garden Properties Ltd","   4    ","       ","       ","       ","P"
"524","Cherry Tree Housing Association Ltd","   2    ","       ","       ","       ","P"
"525","Cheshire East Council","   2    ","   9    ","       ","       ","L"
"526","Cheshire Residential Homes Trust","   3    ","       ","       ","       ","V"
"527","Cheshire West   Chester Council","   2    ","   5    ","   1    ","       ","L"
"528","Chestnut House Healthcare Group","   4    ","       ","       ","       ","P"
"529","Chevin Housing Association Ltd","       ","       ","   5    ","       ","V"
"530","Chiltern Residential Ltd","   2    ","       ","       ","       ","P"
"531","Chilworth Care Ltd","   4    ","       ","       ","       ","P"
"532","Meetranee Chintaram","   2    ","       ","       ","       ","P"
"533","Chislehurst Care Ltd","   5    ","       ","       ","       ","P"
"534","Chitimali Locum Medical Ltd","   2    ","       ","       ","       ","P"
"535","Choice Care Group","   55   ","       ","   1    ","       ","P"
"536","Choice Housing Ireland","   3    ","       ","       ","       ","V"
"537","Choice Support People with Learning Difficulties","   8    ","       ","   1    ","       ","V"
"538","Choices Housing Association Ltd","   17   ","       ","   3    ","       ","V"
"539","Mr   Mrs T F Chon","   2    ","       ","       ","       ","P"
"540","A H Choudhry and A Zeb","   6    ","   1    ","       ","       ","P"
"541","Christadelphian Care Homes","   8    ","       ","       ","       ","V"
"542","Christchurch Group","   7    ","       ","       ","   1    ","P"
"543","Christchurch Housing Society","   2    ","       ","       ","       ","V"
"544","Christian Care Homes","   3    ","       ","       ","       ","V"
"545","Mrs M Chungtuyco","   2    ","       ","       ","       ","P"
"546","Church Farm Nursing Home","   2    ","   1    ","       ","       ","P"
"547","Church of England Pensions Board","   1    ","       ","   1    ","       ","V"
"548","Church of Scotland Trading as CrossReach","   29   ","   1    ","       ","       ","V"
"549","Churchfields Care Home Ltd","   2    ","       ","       ","       ","P"
"550","Cinnabar Support and Living Ltd","   2    ","       ","       ","       ","P"
"551","Cinnamon Care Collection","   5    ","       ","       ","       ","P"
"552","Cintre Community Ltd","   2    ","       ","       ","       ","V"
"553","Circle 33 Housing Trust Ltd","       ","       ","   3    ","       ","P"
"554","City Care Partnership Ltd","   3    ","       ","       ","       ","P"
"555","City of Bradford Metropolitan Council","   7    ","       ","       ","       ","L"
"556","City West Housing Trust","       ","       ","   2    ","       ","V"
"557","Clackmannanshire Council","   2    ","   2    ","       ","       ","L"
"558","Clancare Ltd","   3    ","       ","       ","       ","P"
"559","Clandon Care Ltd","   2    ","       ","       ","       ","P"
"560","Clanmil Housing Association Ltd","   3    ","       ","   5    ","       ","V"
"561","Claregrange Ltd","   2    ","       ","       ","       ","P"
"562","Claremont Care Ltd","   6    ","       ","       ","       ","P"
"563","Clarian Hope Ltd","   2    ","       ","       ","       ","P"
"564","Mr   Mrs B Clarke and Mrs C Mills","   2    ","       ","       ","       ","P"
"565","Ninfa Clarke","   2    ","       ","       ","       ","P"
"566","Clarkson House Care Home Ltd","   2    ","       ","       ","       ","P"
"567","Classic Care Homes  Devon  Ltd","   2    ","       ","       ","       ","P"
"568","Clearwater Care","   11   ","       ","       ","       ","P"
"569","Cleeve Hill Healthcare Ltd","   2    ","       ","       ","       ","P"
"570","Cleveland Alzheimers Residential Centre Ltd","   2    ","       ","       ","       ","V"
"571","Clifton St Annes PCS Ltd","   2    ","       ","       ","       ","P"
"572","Bernadette Cloonan","   3    ","       ","       ","       ","P"
"573","Clover Residents","   3    ","       ","       ","       ","P"
"574","Clwyd Alyn Housing Association Ltd","   4    ","       ","   4    ","       ","V"
"575","Coast Care Homes Ltd","   3    ","       ","       ","       ","P"
"576","Coastal Housing Group","       ","       ","   2    ","       ","P"
"577","Coate Water Care Co Ltd","   7    ","       ","       ","       ","P"
"578","Cobham Care Ltd","   2    ","       ","       ","       ","P"
"579","Cocklebury Farmhouse Homes Ltd","   3    ","       ","       ","       ","P"
"580","Coed Du Hall Ltd","   1    ","       ","       ","   1    ","P"
"581","Cofresh Homes LLP","   1    ","   1    ","       ","       ","P"
"582","Cognithan Ltd","   2    ","       ","       ","       ","P"
"583","Colchester Borough Homes","       ","       ","   2    ","       ","P"
"584","Mr   Mrs John Cole","   3    ","       ","       ","       ","P"
"585","Colin Ltd","   2    ","       ","       ","       ","P"
"586","The College of St Barnabas","   1    ","       ","   1    ","       ","V"
"587","Gemma Collins","   2    ","       ","       ","       ","P"
"588","Colten Care Ltd","   20   ","       ","       ","       ","P"
"589","Colville Care Ltd","   3    ","       ","       ","       ","P"
"590","Combat Stress  Ex Services Mental Welfare Society","   3    ","       ","       ","       ","V"
"591","Comfort Care Group Ltd","   2    ","       ","       ","       ","P"
"592","Comfort Care Homes","   8    ","       ","       ","       ","P"
"593","Comfy Care Homes Ltd","   2    ","       ","       ","       ","P"
"594","Community Care Matters Ltd","   2    ","       ","       ","       ","P"
"595","Community Care Solutions Ltd","   7    ","       ","       ","       ","P"
"596","Community Care Trust  South West  Ltd","   2    ","       ","       ","   1    ","V"
"597","Community Housing and Therapy","   4    ","       ","       ","       ","V"
"598","Community Integrated Care","   88   ","       ","       ","       ","V"
